network : controlled_VQVAE
cuda_device : 0
seed : 0
spv_proportion : 100
truncated : False
act_size : 8
personality_size : 5
value_codebook_vocab : True
sample : top
value_loss : False
domain : personage
dialog_path : data/dialogue/PersonageNLG/train.json
test_dialog_path : data/dialogue/PersonageNLG/test.json
slot_path : data/dialogue/PersonageNLG/slot_value.json
condition_size : 261
personality_path : data/dialogue/PersonageNLG/personality.json
slot_max_ts : 29
text_max_ts : 62
key_order : ['area', 'customer rating', 'eatType', 'familyFriendly', 'food', 'name', 'near', 'priceRange']
split : [0.9, 0.1]
python_path : /home/huxu/anaconda3/envs/p3-torch13/bin/python
decoder_network : LSTM
various_go : False
commitment_cost : 0.95
grad_clip_norm : 1.0
max_turn : 200
emb_size : 300
emb_trainable : True
hidden_size : 300
codebook_size : 512
lr : 0.001
lr_decay : 1.0
batch_size : 128
dropout_rate : 0.0
epoch_num : 100
cuda : True
early_stop_count : 30
vocab_size : None
remove_slot_value : True
encoder_layer_num : 3
beam_search : False
beam_size : 10
beam_len_bonus : 0.5
teacher_force : 50
glove_path : ./data/glove.840B.300d.txt
model_path : ./models/controlled_VQVAE_personage_LSTM_VCBTrue_VLFalse_delex_CB512EL3BS128CC0d95Stop.pkl
result_path : ./results/controlled_VQVAE_personage_LSTM_VCBTrue_VLFalse_delex_CB512EL3BS128CC0d95StopTMT62.csv
vocab_emb : ./vocabs/embedding_personage_delex.npy
vocab_path : ./vocabs/personage_delex.p
mode : train
START_CSV_SECTION
id,dia_act,slot_value,slot_seq,slot_value_seq,personality,delex_text,text,pred_delex_text,pred_text,delex_text_tokens,text_tokens,pred_delex_text_tokens,pred_text_tokens,pred_personality
1045,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}","{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""priceRange"": ""high"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}","[""name"", ""nameVariable"", ""eat"", ""type"", ""eatTypeVariable"", ""food"", ""foodVariable"", ""price"", ""range"", ""priceRangeVariable"", ""area"", ""areaVariable"", ""family"", ""friendly"", ""yes"", ""near"", ""nearVariable"", ""EOS_A""]","[""name"", ""nameVariable"", ""eat"", ""type"", ""restaurant"", ""food"", ""fast food"", ""price"", ""range"", ""high"", ""area"", ""city centre"", ""family"", ""friendly"", ""yes"", ""near"", ""nearVariable"", ""EOS_A""]",agreeable,"let 's see , nameVariable ... right , obviously it is priceRangeVariable near nearVariable , a foodVariable eatTypeVariable in areaVariable and familyFriendlyVariable . nameVariable is a eatTypeVariable , you know , okay ?","let 's see , nameVariable ... right , obviously it is expensive near nearVariable , a fast food restaurant in city centre and kid friendly . nameVariable is a restaurant , you know , okay ?","let 's see what we can find on nameVariable . oh , it is a eatTypeVariable , also it is a foodVariable restaurant , also it is somewhat familyFriendlyVariable , and it 's priceRangeVariable priced , also it 's sort of near nearVariable , also it is priceRangeVariable priced , alright ?",,"[""let"", ""'s"", ""see"", "","", ""nameVariable"", ""..."", ""right"", "","", ""obviously"", ""it"", ""is"", ""priceRangeVariable"", ""near"", ""nearVariable"", "","", ""a"", ""foodVariable"", ""eatTypeVariable"", ""in"", ""areaVariable"", ""and"", ""familyFriendlyVariable"", ""."", ""nameVariable"", ""is"", ""a"", ""eatTypeVariable"", "","", ""you"", ""know"", "","", ""okay"", ""?""]","[""let"", ""'s"", ""see"", "","", ""nameVariable"", ""..."", ""right"", "","", ""obviously"", ""it"", ""is"", ""expensive"", ""near"", ""nearVariable"", "","", ""a"", ""fast"", ""food"", ""restaurant"", ""in"", ""city"", ""centre"", ""and"", ""kid"", ""friendly"", ""."", ""nameVariable"", ""is"", ""a"", ""restaurant"", "","", ""you"", ""know"", "","", ""okay"", ""?""]","[""let"", ""'s"", ""see"", ""what"", ""we"", ""can"", ""find"", ""on"", ""nameVariable"", ""."", ""oh"", "","", ""it"", ""is"", ""a"", ""eatTypeVariable"", "","", ""also"", ""it"", ""is"", ""a"", ""foodVariable"", ""restaurant"", "","", ""also"", ""it"", ""is"", ""somewhat"", ""familyFriendlyVariable"", "","", ""and"", ""it"", ""'s"", ""priceRangeVariable"", ""priced"", "","", ""also"", ""it"", ""'s"", ""sort"", ""of"", ""near"", ""nearVariable"", "","", ""also"", ""it"", ""is"", ""priceRangeVariable"", ""priced"", "","", ""alright"", ""?""]",[],agreeable
