DEBUG:root:network : controlled_CVAE
cuda_device : 2
seed : 0
spv_proportion : 100
truncated : False
act_size : 8
personality_size : 0
domain : e2e
dialog_path : data/dialogue/e2e-dataset/train.json
test_dialog_path : data/dialogue/e2e-dataset/test.json
dev_dialog_path : data/dialogue/e2e-dataset/test.json
condition_size : 79
slot_path : data/dialogue/e2e-dataset/slot_value.json
slot_max_ts : 21
text_max_ts : 82
split : None
python_path : /home/huxu/anaconda3/envs/p3-torch13/bin/python
VAE : False
various_go : False
commitment_cost : 1.0
grad_clip_norm : 1.0
max_turn : 200
emb_size : 300
emb_trainable : True
hidden_size : 300
lr : 0.001
lr_decay : 1.0
batch_size : 128
dropout_rate : 0.0
epoch_num : 1
cuda : True
early_stop_count : 30
vocab_size : None
remove_slot_value : False
encoder_layer_num : 1
beam_search : False
beam_size : 10
beam_len_bonus : 0.5
teacher_force : 50
glove_path : ./data/glove.840B.300d.txt
model_path : ./models/controlled_CVAE_e2e_EL1.pkl
result_path : ./results/controlled_CVAE_e2e_EL1TMT82.csv
vocab_emb : ./vocabs/embedding_e2e.npy
vocab_path : ./vocabs/e2e.p

DEBUG:root:Device: 2
INFO:root:total trainable params: 6280122
INFO:root:Controlled_CVAE(
  (encoder): SimpleDynamicEncoder(
    (embedding): Embedding(3024, 300)
    (gru): GRU(300, 300, bidirectional=True)
  )
  (vocab_vq_vae): Vocab_VectorQuantizer(
    (embedding): Embedding(3024, 300)
  )
  (vae): VAE(
    (fc1): Linear(in_features=379, out_features=379, bias=True)
    (fc21): Linear(in_features=379, out_features=300, bias=True)
    (fc22): Linear(in_features=379, out_features=300, bias=True)
    (fc3): Linear(in_features=300, out_features=379, bias=True)
    (fc4): Linear(in_features=379, out_features=379, bias=True)
  )
  (decoder): Condition_RNN_Decoder(
    (emb): Embedding(3024, 300)
    (rnn): GRU(379, 300)
    (emb_proj): Linear(in_features=300, out_features=300, bias=True)
    (proj): Linear(in_features=300, out_features=3024, bias=True)
  )
  (act_predictor): MultiLabel_Classification(
    (linear1): Linear(in_features=300, out_features=150, bias=True)
    (linear2): Linear(in_features=150, out_features=79, bias=True)
  )
  (act_mlp): MLP(
    (linear1): Linear(in_features=600, out_features=1200, bias=True)
    (linear2): Linear(in_features=1200, out_features=300, bias=True)
  )
  (dec_loss): NLLLoss()
)
INFO:root:embedding.  mean: 0.000241  std 0.511211
DEBUG:root:bucket 1 instance 42061
DEBUG:root:loss:8.869344711303711 reconloss:7.997044563293457 KLD:0.002000595908612013 actloss:0.6951767802238464 vocabvqloss0.17512211203575134 grad:0.35358734613375176
DEBUG:root:loss:8.73964786529541 reconloss:7.913453102111816 KLD:0.0012187156826257706 actloss:0.6768646240234375 vocabvqloss0.14811113476753235 grad:0.3881792010128366
DEBUG:root:loss:8.581948280334473 reconloss:7.819802761077881 KLD:0.0014029103331267834 actloss:0.6244040727615356 vocabvqloss0.13633880019187927 grad:0.5531806517998322
DEBUG:root:loss:8.30248737335205 reconloss:7.654998302459717 KLD:0.002068497706204653 actloss:0.5031718015670776 vocabvqloss0.14224910736083984 grad:0.893408521000263
DEBUG:root:loss:7.917065143585205 reconloss:7.351898193359375 KLD:0.0037556705065071583 actloss:0.3727513551712036 vocabvqloss0.1886599361896515 grad:1.3681153556359806
DEBUG:root:loss:7.557721138000488 reconloss:6.825855731964111 KLD:0.008330369368195534 actloss:0.3342544734477997 vocabvqloss0.3892809748649597 grad:1.9044976094710877
DEBUG:root:loss:7.16159200668335 reconloss:6.113257884979248 KLD:0.019060419872403145 actloss:0.330965518951416 vocabvqloss0.6983080506324768 grad:2.1020865298512326
DEBUG:root:loss:7.286201477050781 reconloss:5.4081807136535645 KLD:0.04150313138961792 actloss:0.3048636019229889 vocabvqloss1.5316544771194458 grad:1.7795749224165704
DEBUG:root:loss:6.871774196624756 reconloss:5.1196112632751465 KLD:0.04106428846716881 actloss:0.2533136010169983 vocabvqloss1.45778489112854 grad:1.9788505383020691
DEBUG:root:loss:6.640599727630615 reconloss:4.86228084564209 KLD:0.027147261425852776 actloss:0.2347971349954605 vocabvqloss1.5163747072219849 grad:1.6242998978741043
DEBUG:root:loss:6.4878058433532715 reconloss:4.843449592590332 KLD:0.013935831375420094 actloss:0.24289153516292572 vocabvqloss1.387528896331787 grad:1.2880203983476386
DEBUG:root:loss:6.26186466217041 reconloss:4.757163047790527 KLD:0.0064811669290065765 actloss:0.23506145179271698 vocabvqloss1.2631586790084839 grad:1.1179640750957545
DEBUG:root:loss:6.015706539154053 reconloss:4.760371208190918 KLD:0.002792408224195242 actloss:0.2294343262910843 vocabvqloss1.023108720779419 grad:1.0404790523593481
DEBUG:root:loss:5.967203617095947 reconloss:4.888546466827393 KLD:0.0014793566660955548 actloss:0.2271232008934021 vocabvqloss0.8500548005104065 grad:0.9907068890791924
DEBUG:root:loss:5.716013431549072 reconloss:4.845311641693115 KLD:0.001010964740999043 actloss:0.22315183281898499 vocabvqloss0.6465393900871277 grad:1.112623467231207
DEBUG:root:loss:5.613175392150879 reconloss:4.78575325012207 KLD:0.0008272489649243653 actloss:0.22417312860488892 vocabvqloss0.6024218201637268 grad:1.003737610932692
DEBUG:root:loss:5.594233512878418 reconloss:4.71255350112915 KLD:0.0007289499044418335 actloss:0.22454455494880676 vocabvqloss0.6564063429832458 grad:0.7671808005004322
DEBUG:root:loss:5.541679382324219 reconloss:4.583830833435059 KLD:0.0007000255864113569 actloss:0.22535505890846252 vocabvqloss0.731793224811554 grad:0.6855805895614416
DEBUG:root:loss:5.491882801055908 reconloss:4.621153831481934 KLD:0.0007120937225408852 actloss:0.22543449699878693 vocabvqloss0.6445826292037964 grad:0.7999153847292594
DEBUG:root:loss:5.483033180236816 reconloss:4.595886707305908 KLD:0.0008105531451292336 actloss:0.22198376059532166 vocabvqloss0.6643519401550293 grad:0.6840995450750547
DEBUG:root:loss:5.449685573577881 reconloss:4.6534528732299805 KLD:0.0010133356554433703 actloss:0.221167653799057 vocabvqloss0.5740520358085632 grad:0.5892162884078844
DEBUG:root:loss:5.2986226081848145 reconloss:4.576284408569336 KLD:0.0013995181070640683 actloss:0.22136862576007843 vocabvqloss0.4995701014995575 grad:0.4125060555245667
DEBUG:root:loss:5.269067287445068 reconloss:4.594148635864258 KLD:0.0012569873360916972 actloss:0.21590815484523773 vocabvqloss0.4577535092830658 grad:0.5042604365109189
DEBUG:root:loss:5.289460182189941 reconloss:4.607338905334473 KLD:0.0008767935796640813 actloss:0.22056648135185242 vocabvqloss0.46067824959754944 grad:0.5885294023019744
DEBUG:root:loss:5.265305042266846 reconloss:4.595285415649414 KLD:0.0005828365101478994 actloss:0.22126013040542603 vocabvqloss0.4481770396232605 grad:0.6295405781908405
DEBUG:root:loss:5.128025531768799 reconloss:4.562719821929932 KLD:0.0004506134719122201 actloss:0.2176746428012848 vocabvqloss0.3471801280975342 grad:0.5984866451652567
DEBUG:root:loss:4.975052356719971 reconloss:4.391017913818359 KLD:0.0004369437228888273 actloss:0.21359729766845703 vocabvqloss0.370000422000885 grad:0.5733162700015264
DEBUG:root:loss:5.088658809661865 reconloss:4.437027454376221 KLD:0.0004518994828686118 actloss:0.2147679477930069 vocabvqloss0.43641161918640137 grad:0.411407721873388
DEBUG:root:loss:5.0619096755981445 reconloss:4.387279987335205 KLD:0.00046171367284841835 actloss:0.21492907404899597 vocabvqloss0.4592389166355133 grad:0.5102585260201735
DEBUG:root:loss:5.01244592666626 reconloss:4.366696357727051 KLD:0.00045905669685453176 actloss:0.21283413469791412 vocabvqloss0.4324558973312378 grad:0.5954517637636758
DEBUG:root:loss:5.088783264160156 reconloss:4.442574977874756 KLD:0.0004496083711273968 actloss:0.2165442854166031 vocabvqloss0.4292147159576416 grad:0.6075237751739402
DEBUG:root:loss:4.809338092803955 reconloss:4.273995399475098 KLD:0.0004365242493804544 actloss:0.21030865609645844 vocabvqloss0.3245978057384491 grad:0.3805163071270315
DEBUG:root:loss:5.020798683166504 reconloss:4.43989896774292 KLD:0.00042148292413912714 actloss:0.21993814408779144 vocabvqloss0.36054015159606934 grad:0.38825994272825004
DEBUG:root:loss:4.845703601837158 reconloss:4.308889865875244 KLD:0.0003996797022409737 actloss:0.21146123111248016 vocabvqloss0.3249528706073761 grad:0.4691870872998815
DEBUG:root:loss:4.844743728637695 reconloss:4.31156063079834 KLD:0.00037964514922350645 actloss:0.21807748079299927 vocabvqloss0.3147256374359131 grad:0.5855170841284023
DEBUG:root:loss:4.77093505859375 reconloss:4.261112213134766 KLD:0.000354581541614607 actloss:0.2194436490535736 vocabvqloss0.29002442955970764 grad:0.5928971181094912
DEBUG:root:loss:4.9130859375 reconloss:4.369369983673096 KLD:0.0003243484243284911 actloss:0.2170431911945343 vocabvqloss0.32634836435317993 grad:0.49842834351372195
DEBUG:root:loss:4.754232883453369 reconloss:4.30483865737915 KLD:0.0002962616563308984 actloss:0.21318276226520538 vocabvqloss0.23591503500938416 grad:0.3694259190858219
DEBUG:root:loss:4.794559955596924 reconloss:4.268314361572266 KLD:0.00027185759972780943 actloss:0.21908684074878693 vocabvqloss0.3068869411945343 grad:0.40052277410148024
DEBUG:root:loss:4.768258094787598 reconloss:4.2427449226379395 KLD:0.00025531064602546394 actloss:0.2170661985874176 vocabvqloss0.3081918954849243 grad:0.37570586374676057
DEBUG:root:loss:4.788031578063965 reconloss:4.2360334396362305 KLD:0.0002461939584463835 actloss:0.21742644906044006 vocabvqloss0.33432555198669434 grad:0.4244937405285341
DEBUG:root:loss:4.737034320831299 reconloss:4.189662933349609 KLD:0.0002439529198454693 actloss:0.21408182382583618 vocabvqloss0.3330456614494324 grad:0.37730571768193194
DEBUG:root:loss:4.73855447769165 reconloss:4.160313129425049 KLD:0.0002405640116194263 actloss:0.21985158324241638 vocabvqloss0.35814934968948364 grad:0.41497634948104284
DEBUG:root:loss:4.627715110778809 reconloss:4.06962251663208 KLD:0.00023208354832604527 actloss:0.2170981466770172 vocabvqloss0.3407619595527649 grad:0.397843451157203
DEBUG:root:loss:4.584426403045654 reconloss:4.132288932800293 KLD:0.00022957002511247993 actloss:0.2184310406446457 vocabvqloss0.23347724974155426 grad:0.36911039916633764
DEBUG:root:loss:4.578669548034668 reconloss:4.079781532287598 KLD:0.0002179979783250019 actloss:0.219388946890831 vocabvqloss0.2792813181877136 grad:0.4149881890516644
DEBUG:root:loss:4.660425186157227 reconloss:4.14381742477417 KLD:0.00020142168796155602 actloss:0.21910381317138672 vocabvqloss0.29730263352394104 grad:0.38623247179627335
DEBUG:root:loss:4.543191909790039 reconloss:4.0564727783203125 KLD:0.00018833327339962125 actloss:0.2162533402442932 vocabvqloss0.2702777087688446 grad:0.3848012240390354
DEBUG:root:loss:4.6143798828125 reconloss:4.125598430633545 KLD:0.00017485847638454288 actloss:0.21822094917297363 vocabvqloss0.2703857421875 grad:0.4206470795515679
DEBUG:root:loss:4.534801959991455 reconloss:4.016369342803955 KLD:0.00016873108688741922 actloss:0.21388909220695496 vocabvqloss0.3043745458126068 grad:0.3144581462117325
DEBUG:root:loss:4.7476959228515625 reconloss:4.219018936157227 KLD:0.00016867688100319356 actloss:0.21764403581619263 vocabvqloss0.310864120721817 grad:0.43576403011675063
DEBUG:root:loss:4.432579040527344 reconloss:3.8902411460876465 KLD:0.00016402642359025776 actloss:0.21637658774852753 vocabvqloss0.32579708099365234 grad:0.4027195789087741
DEBUG:root:loss:4.65731143951416 reconloss:4.195703506469727 KLD:0.00015953001275192946 actloss:0.21600520610809326 vocabvqloss0.24544298648834229 grad:0.36860744565322473
DEBUG:root:loss:4.39066219329834 reconloss:3.9118995666503906 KLD:0.00016168408910743892 actloss:0.2175549417734146 vocabvqloss0.26104599237442017 grad:0.40870180539404916
DEBUG:root:loss:4.444258213043213 reconloss:3.9648523330688477 KLD:0.00016325560864061117 actloss:0.2178669571876526 vocabvqloss0.2613758146762848 grad:0.40695586971922415
DEBUG:root:loss:4.327373027801514 reconloss:3.840327739715576 KLD:0.00016922809300012887 actloss:0.21398983895778656 vocabvqloss0.2728862762451172 grad:0.446583072855943
DEBUG:root:loss:4.668956279754639 reconloss:4.179310321807861 KLD:0.00017643258615862578 actloss:0.21598951518535614 vocabvqloss0.2734799385070801 grad:0.3550059165328143
DEBUG:root:loss:4.508118629455566 reconloss:4.009897232055664 KLD:0.00017737451707944274 actloss:0.21792465448379517 vocabvqloss0.2801196277141571 grad:0.47075893703335076
DEBUG:root:loss:4.328695774078369 reconloss:3.8231847286224365 KLD:0.00017540120461490005 actloss:0.21468378603458405 vocabvqloss0.2906515598297119 grad:0.4284136398414029
DEBUG:root:loss:4.396329402923584 reconloss:3.897966146469116 KLD:0.00016343420429620892 actloss:0.21508091688156128 vocabvqloss0.2831191420555115 grad:0.4529463731537645
DEBUG:root:loss:4.3008713722229 reconloss:3.8324787616729736 KLD:0.00015852157957851887 actloss:0.21331049501895905 vocabvqloss0.25492358207702637 grad:0.600249575143207
DEBUG:root:loss:4.492283821105957 reconloss:4.078070163726807 KLD:0.0001533422473585233 actloss:0.21553605794906616 vocabvqloss0.19852407276630402 grad:0.5438424534317653
DEBUG:root:loss:4.351039409637451 reconloss:3.786881923675537 KLD:0.0001384704082738608 actloss:0.2178748995065689 vocabvqloss0.3461437225341797 grad:0.43242871835841123
DEBUG:root:loss:4.430030822753906 reconloss:3.929123640060425 KLD:0.00012869056081399322 actloss:0.21670001745224 vocabvqloss0.2840781807899475 grad:0.42466789658609416
DEBUG:root:loss:4.29691219329834 reconloss:3.8000054359436035 KLD:0.00013607718574348837 actloss:0.21566884219646454 vocabvqloss0.28110209107398987 grad:0.5516017997295253
DEBUG:root:loss:4.230920314788818 reconloss:3.723341226577759 KLD:0.00015163702482823282 actloss:0.21911370754241943 vocabvqloss0.2883135676383972 grad:0.3738147498405733
DEBUG:root:loss:4.355598449707031 reconloss:3.8541088104248047 KLD:0.00017070671310648322 actloss:0.21915414929389954 vocabvqloss0.28216466307640076 grad:0.46687930967769115
DEBUG:root:loss:4.113524436950684 reconloss:3.633496046066284 KLD:0.0001774123084032908 actloss:0.21516042947769165 vocabvqloss0.2646903097629547 grad:0.4446346518349504
DEBUG:root:loss:3.9898383617401123 reconloss:3.4827635288238525 KLD:0.0001638300745980814 actloss:0.21893291175365448 vocabvqloss0.28797823190689087 grad:0.4519631631646987
DEBUG:root:loss:4.007629871368408 reconloss:3.5089800357818604 KLD:0.00014316222222987562 actloss:0.2156701683998108 vocabvqloss0.282836377620697 grad:0.4458587760303445
DEBUG:root:loss:4.213372230529785 reconloss:3.7106685638427734 KLD:0.000135899186716415 actloss:0.21795201301574707 vocabvqloss0.2846153974533081 grad:0.427344559580026
DEBUG:root:loss:4.099164962768555 reconloss:3.57881236076355 KLD:0.00014553249638993293 actloss:0.21776187419891357 vocabvqloss0.30244511365890503 grad:0.4077515279214831
DEBUG:root:loss:4.184256553649902 reconloss:3.6731369495391846 KLD:0.00016550174041185528 actloss:0.21110941469669342 vocabvqloss0.2998446524143219 grad:0.47132329445255966
DEBUG:root:loss:4.374136447906494 reconloss:3.9411258697509766 KLD:0.00015894498210400343 actloss:0.21445530652999878 vocabvqloss0.21839648485183716 grad:0.4144336178590516
DEBUG:root:loss:3.943211555480957 reconloss:3.436861753463745 KLD:0.00016616513312328607 actloss:0.2158358246088028 vocabvqloss0.2903478145599365 grad:0.421512731856083
DEBUG:root:loss:3.997676372528076 reconloss:3.478864908218384 KLD:0.0001674992818152532 actloss:0.2166406512260437 vocabvqloss0.3020032048225403 grad:0.4006966285331209
DEBUG:root:loss:3.828080654144287 reconloss:3.333592176437378 KLD:0.00014996975369285792 actloss:0.2163325548171997 vocabvqloss0.27800580859184265 grad:0.4685972725723783
DEBUG:root:loss:4.129537582397461 reconloss:3.606581211090088 KLD:0.00013967283302918077 actloss:0.21460391581058502 vocabvqloss0.3082125186920166 grad:0.3719782396730147
DEBUG:root:loss:3.878005266189575 reconloss:3.352245807647705 KLD:0.00014132792421150953 actloss:0.21646611392498016 vocabvqloss0.30915194749832153 grad:0.35213453764053176
DEBUG:root:loss:4.058288097381592 reconloss:3.608813762664795 KLD:0.00014618647401221097 actloss:0.21526508033275604 vocabvqloss0.2340627908706665 grad:0.44049104252232957
DEBUG:root:loss:4.434404373168945 reconloss:3.922651529312134 KLD:0.00015470095968339592 actloss:0.21659913659095764 vocabvqloss0.29499927163124084 grad:0.43272966885807707
DEBUG:root:loss:4.066229343414307 reconloss:3.5524134635925293 KLD:0.00020448134455364197 actloss:0.21852052211761475 vocabvqloss0.29509082436561584 grad:0.3734726755165636
DEBUG:root:loss:3.7463958263397217 reconloss:3.278216600418091 KLD:0.0002473656786605716 actloss:0.2136356085538864 vocabvqloss0.25429609417915344 grad:0.357044439114679
DEBUG:root:loss:4.144092082977295 reconloss:3.599355936050415 KLD:0.0002777597983367741 actloss:0.2190328687429428 vocabvqloss0.32542556524276733 grad:0.42984110860863123
